Geographic Area,Year,Private Insured
North Dakota,2008,497000
Ohio,2008,8337000
Oklahoma,2008,2280000
Oregon,2008,2673000
Pennsylvania,2008,9352000
Rhode Island,2008,772000
South Carolina,2008,2910000
South Dakota,2008,591000
Tennessee,2008,4191000
Texas,2008,14435000
Utah,2008,2054000
Vermont,2008,438000
Virginia,2008,5862000
Washington,2008,4727000
West Virginia,2008,1177000
Wisconsin,2008,4302000
Wyoming,2008,392000
United States,2007,201991000
Alabama,2007,3221000
Alaska,2007,428000
Arizona,2007,3920000
Arkansas,2007,1710000
California,2007,22720000
Colorado,2007,3486000
Connecticut,2007,2652000
Delaware,2007,625000
District of Columbia,2007,394000
Florida,2007,11462000
Georgia,2007,6312000
Hawaii,2007,951000
Idaho,2007,1083000
Illinois,2007,9175000
Indiana,2007,4547000
Iowa,2007,2320000
Kansas,2007,1958000
Kentucky,2007,2718000
Louisiana,2007,2538000
Maine,2007,926000
Maryland,2007,4151000
Massachusetts,2007,4780000
Michigan,2007,7262000
Minnesota,2007,4145000
Mississippi,2007,1644000
Missouri,2007,4053000
Montana,2007,636000
Nebraska,2007,1305000
Nevada,2007,1795000
New Hampshire,2007,1048000
New Jersey,2007,6104000
New Mexico,2007,1086000
New York,2007,12365000
North Carolina,2007,5889000
North Dakota,2007,481000
Ohio,2007,8217000
Oklahoma,2007,2168000
Oregon,2007,2610000
Pennsylvania,2007,9323000
Rhode Island,2007,748000
South Carolina,2007,2848000
South Dakota,2007,599000
Tennessee,2007,3879000
Texas,2007,13490000
Utah,2007,2009000
Vermont,2007,437000
Virginia,2007,5329000
Washington,2007,4697000
West Virginia,2007,1156000
Wisconsin,2007,4214000
Wyoming,2007,376000
United States,2006,201690000
Alabama,2006,3107000
Alaska,2006,428000
Arizona,2006,3770000
Arkansas,2006,1662000
California,2006,22679000
Colorado,2006,3392000
Connecticut,2006,2639000
Delaware,2006,637000
District of Columbia,2006,381000
Florida,2006,11318000
Georgia,2006,6083000
Hawaii,2006,937000
Idaho,2006,1019000
Illinois,2006,9209000
Indiana,2006,4773000
Iowa,2006,2215000
Kansas,2006,2033000
Kentucky,2006,2738000
Louisiana,2006,2468000
Maine,2006,929000
Maryland,2006,4212000
Massachusetts,2006,4685000
Michigan,2006,7447000
Minnesota,2006,4021000
Mississippi,2006,1712000
Missouri,2006,4114000
Montana,2006,630000
Nebraska,2006,1326000
Nevada,2006,1684000
New Hampshire,2006,1032000
New Jersey,2006,6364000
New Mexico,2006,1081000
New York,2006,12649000
North Carolina,2006,5714000
North Dakota,2006,473000
Ohio,2006,8339000
Oklahoma,2006,2145000
Oregon,2006,2534000
Pennsylvania,2006,9275000
Rhode Island,2006,774000
South Carolina,2006,2747000
South Dakota,2006,568000
Tennessee,2006,3920000
Texas,2006,13770000
Utah,2006,1825000
Vermont,2006,442000
Virginia,2006,5432000
Washington,2006,4592000
West Virginia,2006,1161000
Wisconsin,2006,4224000
Wyoming,2006,378000
United States,2005,201167000
Alabama,2005,3010000
Alaska,2005,406000
Arizona,2005,3614000
Arkansas,2005,1725000
California,2005,22550000
Colorado,2005,3339000
Connecticut,2005,2679000
Delaware,2005,612000
District of Columbia,2005,345000
Florida,2005,11284000
Georgia,2005,5696000
Hawaii,2005,946000
Idaho,2005,1013000
Illinois,2005,9163000
Indiana,2005,4431000
Iowa,2005,2336000
Kansas,2005,2087000
Kentucky,2005,2793000
Louisiana,2005,2609000
Maine,2005,890000
Maryland,2005,4110000
Massachusetts,2005,4726000
Michigan,2005,7546000
Minnesota,2005,4165000
Mississippi,2005,1625000
Missouri,2005,4111000
Montana,2005,628000
Nebraska,2005,1346000
Nevada,2005,1698000
New Hampshire,2005,1039000
New Jersey,2005,6542000
New Mexico,2005,1120000
New York,2005,12932000
North Carolina,2005,5725000
North Dakota,2005,493000
Ohio,2005,8366000
Oklahoma,2005,2217000
Oregon,2005,2519000
Pennsylvania,2005,9469000
Rhode Island,2005,761000
South Carolina,2005,2682000
South Dakota,2005,570000
Tennessee,2005,3778000
Texas,2005,13511000
Utah,2005,1807000
Vermont,2005,427000
Virginia,2005,5481000
Washington,2005,4522000
West Virginia,2005,1148000
Wisconsin,2005,4217000
Wyoming,2005,357000
United States,2004,200924000
Alabama,2004,3080000
Alaska,2004,414000
Arizona,2004,3663000
Arkansas,2004,1694000
California,2004,22534000
Colorado,2004,3302000
Connecticut,2004,2620000
Delaware,2004,601000
District of Columbia,2004,365000
Florida,2004,10977000
Georgia,2004,5782000
Hawaii,2004,928000
Idaho,2004,988000
Illinois,2004,9451000
Indiana,2004,4402000
Iowa,2004,2328000
Kansas,2004,2039000
Kentucky,2004,2724000
Louisiana,2004,2781000
Maine,2004,888000
Maryland,2004,4121000
Massachusetts,2004,4706000
Michigan,2004,7524000
Minnesota,2004,4219000
Mississippi,2004,1713000
Missouri,2004,3992000
Montana,2004,608000
Nebraska,2004,1334000
Nevada,2004,1646000
New Hampshire,2004,1036000
New Jersey,2004,6483000
New Mexico,2004,1129000
New York,2004,13066000
North Carolina,2004,5761000
North Dakota,2004,492000
Ohio,2004,8542000
Oklahoma,2004,2181000
Oregon,2004,2543000
Pennsylvania,2004,9234000
Rhode Island,2004,754000
South Carolina,2004,2703000
South Dakota,2004,548000
Tennessee,2004,3843000
Texas,2004,13433000
Utah,2004,1836000
Vermont,2004,423000
Virginia,2004,5456000
Washington,2004,4342000
West Virginia,2004,1141000
Wisconsin,2004,4192000
Wyoming,2004,365000
United States,2003,199871000
Alabama,2003,3048000
Alaska,2003,399000
Arizona,2003,3600000
Arkansas,2003,1632000
California,2003,22818000
Colorado,2003,3157000
Connecticut,2003,2608000
Delaware,2003,627000
District of Columbia,2003,361000
Florida,2003,11100000
Georgia,2003,5997000
Hawaii,2003,936000
Idaho,2003,921000
Illinois,2003,9300000
Indiana,2003,4608000
Iowa,2003,2335000
Kansas,2003,2048000
Kentucky,2003,2853000
Louisiana,2003,2770000
Maine,2003,887000
Maryland,2003,4165000
Massachusetts,2003,4786000
Michigan,2003,7657000
Minnesota,2003,4142000
Mississippi,2003,1713000
Missouri,2003,4234000
Montana,2003,593000
Nebraska,2003,1333000
Nevada,2003,1538000
New Hampshire,2003,1012000
New Jersey,2003,6426000
New Mexico,2003,1038000
New York,2003,12707000
North Carolina,2003,5309000
North Dakota,2003,490000
Ohio,2003,8494000
Oklahoma,2003,2159000
Oregon,2003,2463000
Pennsylvania,2003,9330000
Rhode Island,2003,770000
South Carolina,2003,2808000
South Dakota,2003,570000
Tennessee,2003,3974000
Texas,2003,12803000
Utah,2003,1844000
Vermont,2003,438000
Virginia,2003,5354000
Washington,2003,4174000
West Virginia,2003,1095000
Wisconsin,2003,4111000
Wyoming,2003,338000
United States,2002,200891000
Alabama,2002,3170000
Alaska,2002,401000
Arizona,2002,3591000
